BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,
10:8C:CF:EA:AD:CA, 2015-02-11 11:36:34, 2015-02-11 11:38:39,6,54, OPN ,       ,   ,-42,60,0,   0.  0.  0.  0,11, bloomu-open, ,90:72:40:94:EA:A7, 2015-02-11 11:40:40, 2015-02-11 11:40:51,-49,9, (not associated) , bloomu-open,,,,,,,
10:8C:CF:EA:AD:C0, 2015-02-11 11:36:34, 2015-02-11 11:38:40,6,54, WPA2, CCMP, MGT,-45,372,892,   0.  0.  0.  0,6, bloomu, ,B0:34:95:93:49:5C, 2015-02-11 11:36:04, 2015-02-11 11:40:50,-53,8413, 00:23:AB:BC:D8:C0, bloomu,,,,,,,
2E:25:B3:39:61:6F, 2015-02-11 11:32:18, 2015-02-11 11:37:01,6,54, OPN ,       ,   ,-1,362,0,   0.  0.  0.  0,7, hpsetup, ,78:FD:94:09:EE:19, 2015-02-11 11:40:03, 2015-02-11 11:40:52,-62,19, 00:23:AB:BC:D8:C0, bloomu,,,,,,,
40:F4:EC:DB:0A:82, 2015-02-11 11:32:15, 2015-02-11 11:37:00,6,54, WPA2, CCMP,PSK,-49,520,0,   0.  0.  0.  0,10, bloomu-psk, ,D8:BB:2C:14:2D:ED, 2015-02-11 11:29:16, 2015-02-11 11:40:39,-35,30, 00:23:AB:BC:D8:C0, bloomu,,,,,,,
40:F4:EC:DB:0A:80, 2015-02-11 11:32:15, 2015-02-11 11:37:00,6,54, WPA2, CCMP, MGT,-49,607,52,   0.  0.  0.  0,6, bloomu, ,90:FD:61:AF:E0:5E, 2015-02-11 11:40:06, 2015-02-11 11:40:42,-50,8, 00:23:AB:BC:D8:C0, bloomu,,,,,,,
40:F4:EC:DB:0A:8A, 2015-02-11 11:32:15, 2015-02-11 11:37:01,6,54, OPN ,       ,   ,-51,600,0,   0.  0.  0.  0,11, bloomu-open, ,D4:8F:33:7C:C9:30, 2015-02-11 11:40:40, 2015-02-11 11:40:40,-51,2, (not associated) ,,,,,,,,
88:75:56:14:6D:B2, 2015-02-11 11:32:17, 2015-02-11 11:37:01,6,54, WPA2, CCMP,PSK,-51,405,0,   0.  0.  0.  0,10, bloomu-psk, ,D8:BB:2C:E8:93:CC, 2015-02-11 11:39:27, 2015-02-11 11:40:42,-51,7, (not associated) , bloomu,,,,,,,
10:8C:CF:B1:85:AA, 2015-02-11 11:33:04, 2015-02-11 11:36:48,6,54, OPN ,       ,   ,-54,8,0,   0.  0.  0.  0,11, bloomu-open, ,40:0E:85:05:A2:D7, 2015-02-11 11:38:30, 2015-02-11 11:40:39,-57,159, 00:23:AB:BC:D8:C0, bloomu,,,,,,,
58:BC:27:13:89:52, 2015-02-11 11:32:38, 2015-02-11 11:36:42,6,54, WPA2, CCMP,PSK,-49,390,0,   0.  0.  0.  0,10, bloomu-psk, ,68:17:29:41:4A:0B, 2015-02-11 11:40:31, 2015-02-11 11:40:31,-41,2, (not associated) , bloomu-secure,,,,,,,
58:BC:27:13:89:50, 2015-02-11 11:32:10, 2015-02-11 11:36:42,6,54, WPA2OPN , CCMP, MGT,-50,346,135,   0.  0.  0.  0,6, bloomu, ,F8:F1:B6:3C:98:98, 2015-02-11 11:33:01, 2015-02-11 11:40:32,-44,17, (not associated) , Anthonys,acf1dffe7619,HOME-C438,MOTOROLA-4D711,Geisinger Guest,xfinitywifi,CableWiFi,WG505
58:BC:27:13:A1:00, 2015-02-11 11:32:42, 2015-02-11 11:36:40,6,54, WPA2, CCMP, MGT,-51,815,417,   0.  0.  0.  0,6, bloomu, ,F8:27:93:EB:D1:73, 2015-02-11 11:40:29, 2015-02-11 11:40:29,-49,2, (not associated) , bloomu,,,,,,,
E8:04:62:0A:2D:40, 2015-02-11 11:33:00, 2015-02-11 11:36:41,6,54, WPA2, CCMP, MGT,-55,1,1,   0.  0.  0.  0,6, bloomu, ,AC:3C:0B:E8:32:D6, 2015-02-11 11:40:32, 2015-02-11 11:40:32,-56,1, (not associated) , bloomu-secure,,,,,,,
06:27:22:75:A5:CD, 2015-02-11 11:27:14, 2015-02-11 11:36:31,6,54, WEP , WEP,   ,-61,18,0,   0.  0.  0.  0,13, jlinkwireless, ,EC:85:2F:30:35:72, 2015-02-11 11:39:41, 2015-02-11 11:40:19,-47,1709, 00:23:AB:BC:D8:C0, bloomu,,,,,,,
58:BC:27:92:FC:D0, 2015-02-11 11:32:21, 2015-02-11 11:36:20,1,54, WPA2OPN , CCMP, MGT,-44,0,2,   0.  0.  0.  0,6, bloomu, ,40:B3:95:2F:14:0B, 2015-02-11 11:39:58, 2015-02-11 11:39:58,-59,1, (not associated) , bloomu,,,,,,,
10:8C:CF:39:37:A0, 2015-02-11 11:35:09, 2015-02-11 11:36:09,6,-1, OPN ,       ,   ,-1,0,2,   0.  0.  0.  0,0, , ,78:A3:E4:D7:92:A3, 2015-02-11 11:39:48, 2015-02-11 11:39:48,-45,2, (not associated) ,,,,,,,,
E8:04:62:0A:2D:42, 2015-02-11 11:33:00, 2015-02-11 11:36:08,6,54, WPA2, CCMP,PSK,-56,2,0,   0.  0.  0.  0,10, bloomu-psk, ,A4:C3:61:A6:8D:3E, 2015-02-11 11:39:15, 2015-02-11 11:39:50,-45,22, 00:23:AB:BC:D8:C0, bloomu,,,,,,,
58:BC:27:13:8A:A0, 2015-02-11 11:33:02, 2015-02-11 11:36:01,6,-1, OPN ,       ,   ,-1,0,2,   0.  0.  0.  0,0, , ,12:C5:53:6D:86:52, 2015-02-11 11:39:50, 2015-02-11 11:39:50,-54,1, (not associated) ,,,,,,,,
10:8C:CF:38:5D:50, 2015-02-11 11:33:08, 2015-02-11 11:35:59,11,54, WPA2, CCMP, MGT,-29,2,2,   0.  0.  0.  0,6, bloomu, ,F4:09:D8:A5:A6:07, 2015-02-11 11:39:50, 2015-02-11 11:39:50,-59,1, (not associated) , dymondguest,,,,,,,
E8:04:62:0A:33:9B, 2015-02-11 11:33:07, 2015-02-11 11:35:59,6,54, WPA2, CCMP, MGT,-48,663,409,   0.  0.  0.  0,13, bloomu-secure, ,48:D7:05:40:82:12, 2015-02-11 11:39:51, 2015-02-11 11:39:51,-60,2, (not associated) , bloomu,,,,,,,
DC:7B:94:87:B3:AA, 2015-02-11 11:32:15, 2015-02-11 11:35:59,6,54, OPN ,       ,   ,-49,1323,565, 172. 20. 26. 60,11, bloomu-open, ,5C:8D:4E:8E:75:F0, 2015-02-11 11:39:31, 2015-02-11 11:39:38,-56,14, 00:1C:F9:C1:F0:1B, bloomu-secure,,,,,,,
E8:04:62:0A:33:9A, 2015-02-11 11:33:07, 2015-02-11 11:35:59,6,54, OPN ,       ,   ,-49,691,0,   0.  0.  0.  0,11, bloomu-open, ,F0:25:B7:03:02:3B, 2015-02-11 11:37:37, 2015-02-11 11:39:39,-56,3, (not associated) , bloomu,,,,,,,
DC:7B:94:87:B3:AB, 2015-02-11 11:32:15, 2015-02-11 11:35:59,6,54, WPA2, CCMP, MGT,-50,1256,3229,   0.  0.  0.  0,13, bloomu-secure, ,70:3E:AC:4C:E6:E6, 2015-02-11 11:39:25, 2015-02-11 11:39:29,-48,9, 00:1C:F9:C1:F0:1B, bloomu-secure,,,,,,,
DC:7B:94:87:B3:A2, 2015-02-11 11:32:15, 2015-02-11 11:35:59,6,54, WPA2, CCMP,PSK,-50,1414,0,   0.  0.  0.  0,10, bloomu-psk, ,F0:99:BF:51:C2:34, 2015-02-11 11:38:35, 2015-02-11 11:39:30,-54,3, (not associated) ,,,,,,,,
E8:04:62:0A:33:92, 2015-02-11 11:33:07, 2015-02-11 11:35:59,6,54, WPA2, CCMP,PSK,-50,777,0,   0.  0.  0.  0,10, bloomu-psk, ,60:21:C0:CF:D8:D9, 2015-02-11 11:38:55, 2015-02-11 11:39:29,-60,6, (not associated) , bloomu,,,,,,,
E8:04:62:0A:33:90, 2015-02-11 11:33:07, 2015-02-11 11:35:59,6,54, WPA2, CCMP, MGT,-51,783,1831,   0.  0.  0.  0,6, bloomu, ,30:F7:C5:25:04:04, 2015-02-11 11:39:29, 2015-02-11 11:39:29,-61,1, (not associated) ,,,,,,,,
E8:04:62:0A:32:C0, 2015-02-11 11:33:50, 2015-02-11 11:35:49,6,-1, OPN ,       ,   ,-1,0,3,   0.  0.  0.  0,0, , ,00:BB:3A:D3:67:D5, 2015-02-11 11:39:22, 2015-02-11 11:39:22,-46,2, (not associated) ,,,,,,,,
10:8C:CF:45:47:00, 2015-02-11 11:33:34, 2015-02-11 11:33:51,6,-1, OPN ,       ,   ,-52,0,2,   0.  0.  0.  0,0, , ,68:A8:6D:C0:8F:FF, 2015-02-11 11:32:43, 2015-02-11 11:39:18,-46,23, 00:23:AB:BC:D8:CB, bloomu-secure,,,,,,,
00:25:9C:45:B8:AA, 2015-02-11 11:33:18, 2015-02-11 11:33:48,4,54, WPA , TKIP,PSK,-59,4,0,   0.  0.  0.  0,6, saturn, ,FC:C2:DE:2C:8C:7E, 2015-02-11 11:39:09, 2015-02-11 11:39:22,-55,7, (not associated) , bloomu,,,,,,,
A0:CF:5B:3D:0C:0B, 2015-02-11 11:20:08, 2015-02-11 11:32:08,11,54, WPA2, CCMP, MGT,-49,1,0,   0.  0.  0.  0,13, bloomu-secure, ,F0:99:BF:55:F6:2C, 2015-02-11 11:39:21, 2015-02-11 11:39:21,-61,2, (not associated) , bloomu,,,,,,,
DC:7B:94:87:91:30, 2015-02-11 11:31:56, 2015-02-11 11:31:59,6,-1,     ,       ,   ,-1,0,0,   0.  0.  0.  0,0, , ,34:A3:95:6C:15:E9, 2015-02-11 11:32:42, 2015-02-11 11:39:18,-61,30, 00:23:AB:BC:D8:C0, bloomu,,,,,,,
00:1C:0E:26:6D:5A, 2015-02-11 11:22:29, 2015-02-11 11:31:52,1,54, OPN ,       ,   ,-47,4,2,   0.  0.  0.  0,11, bloomu-open, ,00:C6:10:27:EB:AA, 2015-02-11 11:39:11, 2015-02-11 11:39:21,-62,5, (not associated) , bloomu,,,,,,,
E8:04:62:0A:5D:FB, 2015-02-11 11:30:27, 2015-02-11 11:31:42,6,54, WPA2, CCMP, MGT,-53,0,0,   0.  0.  0.  0,13, bloomu-secure, ,E0:C9:7A:B8:55:0F, 2015-02-11 11:32:16, 2015-02-11 11:39:08,-35,27, 10:8C:CF:EA:AD:C0, bloomu,,,,,,,
E8:04:62:0A:5D:F2, 2015-02-11 11:30:27, 2015-02-11 11:31:42,6,54, WPA2, CCMP,PSK,-53,0,0,   0.  0.  0.  0,10, bloomu-psk, ,4C:7C:5F:88:E6:58, 2015-02-11 11:36:55, 2015-02-11 11:39:10,-53,6, (not associated) ,,,,,,,,
E8:04:62:0A:5D:F0, 2015-02-11 11:30:15, 2015-02-11 11:31:42,6,54, WPA2, CCMP, MGT,-54,0,0,   0.  0.  0.  0,6, bloomu, ,A8:5B:78:5E:01:D7, 2015-02-11 11:39:06, 2015-02-11 11:39:10,-56,3, (not associated) , bloomu,,,,,,,
E8:04:62:0A:5D:FA, 2015-02-11 11:30:15, 2015-02-11 11:31:42,6,54, OPN ,       ,   ,-54,0,0,   0.  0.  0.  0,11, bloomu-open, ,F8:A9:D0:56:DA:F5, 2015-02-11 11:39:10, 2015-02-11 11:39:10,-58,2, (not associated) ,,,,,,,,
E8:04:62:22:1D:EA, 2015-02-11 11:30:11, 2015-02-11 11:30:11,11,54, OPN ,       ,   ,-40,0,0,   0.  0.  0.  0,11, bloomu-open, ,4C:7C:5F:A3:76:5A, 2015-02-11 11:37:45, 2015-02-11 11:39:08,-59,3, (not associated) ,,,,,,,,
E8:04:62:22:1D:E2, 2015-02-11 11:30:11, 2015-02-11 11:30:11,11,54, WPA2, CCMP,PSK,-40,0,0,   0.  0.  0.  0,10, bloomu-psk, ,E4:25:E7:61:F4:55, 2015-02-11 11:37:36, 2015-02-11 11:39:00,-44,13, 40:F4:EC:B2:DF:8B, bloomu-secure,,,,,,,
E8:04:62:22:1D:E0, 2015-02-11 11:30:11, 2015-02-11 11:30:11,11,54, WPA2, CCMP, MGT,-40,0,0,   0.  0.  0.  0,6, bloomu, ,E0:C9:7A:BB:6F:17, 2015-02-11 11:37:20, 2015-02-11 11:39:02,-47,9, (not associated) , bloomu,,,,,,,
E8:04:62:22:1D:EB, 2015-02-11 11:30:00, 2015-02-11 11:30:11,11,54, WPA2, CCMP, MGT,-43,0,0,   0.  0.  0.  0,13, bloomu-secure, ,DE:AC:BA:6F:C8:34, 2015-02-11 11:37:29, 2015-02-11 11:38:59,-51,2, (not associated) ,,,,,,,,
26:43:AB:C4:BC:47, 2015-02-11 11:29:59, 2015-02-11 11:30:00,11,11, OPN ,       ,   ,-1,2,0,   0.  0.  0.  0,5, SETUP, ,D4:F4:6F:16:8F:BC, 2015-02-11 11:32:18, 2015-02-11 11:38:58,-51,15, (not associated) , bloomu,,,,,,,
E8:04:62:22:1E:22, 2015-02-11 11:30:00, 2015-02-11 11:30:00,11,54, WPA2, CCMP,PSK,-41,2,0,   0.  0.  0.  0,10, bloomu-psk, ,AA:72:3C:6C:BA:C3, 2015-02-11 11:37:32, 2015-02-11 11:39:02,-53,5, (not associated) ,,,,,,,,
E8:04:62:22:1E:2A, 2015-02-11 11:29:56, 2015-02-11 11:30:00,11,54, OPN ,       ,   ,-43,2,0,   0.  0.  0.  0,11, bloomu-open, ,18:E7:F4:9E:14:01, 2015-02-11 11:38:59, 2015-02-11 11:38:59,-60,7, (not associated) , ARRIS-CE42,NETGEAR14,You Got Yirced,HOME-A242,EHRHARDTS_PUBLIC,hoots,POW61,
E8:04:62:22:1E:2B, 2015-02-11 11:29:56, 2015-02-11 11:30:00,11,54, WPA2, CCMP, MGT,-43,1,0,   0.  0.  0.  0,13, bloomu-secure, ,98:F0:AB:36:98:15, 2015-02-11 11:32:55, 2015-02-11 11:38:50,-48,13, (not associated) , bloomu-secure,,,,,,,
E8:04:62:22:1E:20, 2015-02-11 11:29:56, 2015-02-11 11:30:00,11,54, WPA2, CCMP, MGT,-43,2,0,   0.  0.  0.  0,6, bloomu, ,18:AF:61:90:35:66, 2015-02-11 11:38:52, 2015-02-11 11:38:52,-53,4, (not associated) , bloomu,,,,,,,
E8:04:62:0A:58:C0, 2015-02-11 11:29:56, 2015-02-11 11:29:59,11,54, WPA2, CCMP, MGT,-49,0,0,   0.  0.  0.  0,6, bloomu, ,FA:BC:0F:D2:E4:0F, 2015-02-11 11:38:05, 2015-02-11 11:38:50,-55,2, (not associated) ,,,,,,,,
E8:04:62:0A:58:CA, 2015-02-11 11:29:56, 2015-02-11 11:30:00,11,54, OPN ,       ,   ,-49,1,0,   0.  0.  0.  0,11, bloomu-open, ,84:38:38:E1:C4:F6, 2015-02-11 11:38:52, 2015-02-11 11:38:52,-57,2, (not associated) , mcdonalds,mcDonalds,,,,,,
A0:CF:5B:9F:32:32, 2015-02-11 11:20:12, 2015-02-11 11:29:49,11,54, WPA2, CCMP,PSK,-45,1,0,   0.  0.  0.  0,10, bloomu-psk, ,7C:C3:A1:03:5B:8E, 2015-02-11 11:38:49, 2015-02-11 11:38:49,-57,2, (not associated) ,,,,,,,,
A0:CF:5B:9F:32:3A, 2015-02-11 11:20:12, 2015-02-11 11:29:49,11,54, OPN ,       ,   ,-47,2,0,   0.  0.  0.  0,11, bloomu-open, ,B0:34:95:92:36:E8, 2015-02-11 11:36:31, 2015-02-11 11:38:50,-58,2, (not associated) , bloomu-secure,,,,,,,
00:1C:0E:26:AE:E0, 2015-02-11 11:20:07, 2015-02-11 11:29:30,11,54, WPA2, CCMP, MGT,-40,1,0,   0.  0.  0.  0,6, bloomu, ,FC:C2:DE:91:31:57, 2015-02-11 11:38:51, 2015-02-11 11:38:51,-59,2, (not associated) , bloomu,,,,,,,
00:1C:0E:26:AE:EB, 2015-02-11 11:20:08, 2015-02-11 11:29:30,11,54, WPA2, CCMP, MGT,-40,1,1,   0.  0.  0.  0,13, bloomu-secure, ,90:8D:6C:98:01:DA, 2015-02-11 11:38:41, 2015-02-11 11:38:41,-60,1, (not associated) ,,,,,,,,
A0:CF:5B:9F:C8:32, 2015-02-11 11:20:12, 2015-02-11 11:29:29,11,54, WPA2, CCMP,PSK,-45,0,0,   0.  0.  0.  0,10, bloomu-psk, ,F4:37:B7:04:FD:6D, 2015-02-11 11:38:42, 2015-02-11 11:38:42,-62,1, (not associated) , bloomu,,,,,,,
A0:CF:5B:9F:C8:30, 2015-02-11 11:20:08, 2015-02-11 11:29:30,11,54, WPA2, CCMP, MGT,-46,0,0,   0.  0.  0.  0,6, bloomu, ,FC:C2:DE:8C:A9:26, 2015-02-11 11:37:30, 2015-02-11 11:38:32,-57,4, (not associated) , bloomu,,,,,,,
A0:CF:5B:9F:C8:3B, 2015-02-11 11:20:07, 2015-02-11 11:29:28,11,54, WPA2, CCMP, MGT,-47,0,0,   0.  0.  0.  0,13, bloomu-secure, ,DC:9B:9C:14:48:5F, 2015-02-11 11:38:32, 2015-02-11 11:38:32,-62,1, (not associated) , bloomu,,,,,,,
54:4A:00:79:95:70, 2015-02-11 11:20:07, 2015-02-11 11:29:31,11,54, WPA2, CCMP, MGT,-47,1413,1043,   0.  0.  0.  0,6, bloomu, ,60:67:20:25:CE:14, 2015-02-11 11:38:31, 2015-02-11 11:38:31,-62,1, (not associated) , bloomu-secure,,,,,,,
A0:CF:5B:9F:C8:3A, 2015-02-11 11:20:07, 2015-02-11 11:29:28,11,54, OPN ,       ,   ,-48,0,0,   0.  0.  0.  0,11, bloomu-open, ,80:19:34:C8:3C:EB, 2015-02-11 11:38:16, 2015-02-11 11:38:22,-41,4, 10:8C:CF:EA:AD:CB,,,,,,,,
A0:CF:5B:6B:2E:82, 2015-02-11 11:20:18, 2015-02-11 11:29:18,11,54, WPA2, CCMP,PSK,-38,0,0,   0.  0.  0.  0,10, bloomu-psk, ,9A:A3:91:E0:F3:10, 2015-02-11 11:38:22, 2015-02-11 11:38:22,-62,1, (not associated) ,,,,,,,,
A0:CF:5B:6B:2E:8A, 2015-02-11 11:20:07, 2015-02-11 11:29:22,11,54, OPN ,       ,   ,-39,0,0,   0.  0.  0.  0,11, bloomu-open, ,34:C8:03:0E:C0:D4, 2015-02-11 11:37:02, 2015-02-11 11:38:09,-40,6, (not associated) , bloomu,,,,,,,
A0:CF:5B:6B:2E:8B, 2015-02-11 11:20:07, 2015-02-11 11:29:22,11,54, WPA2, CCMP, MGT,-40,0,0,   0.  0.  0.  0,13, bloomu-secure, ,98:F1:70:58:D0:D4, 2015-02-11 11:38:09, 2015-02-11 11:38:09,-50,3, (not associated) ,,,,,,,,
A0:CF:5B:6B:2E:80, 2015-02-11 11:20:18, 2015-02-11 11:29:19,11,54, WPA2, CCMP, MGT,-41,0,0,   0.  0.  0.  0,6, bloomu, ,A6:BD:E1:3F:A3:40, 2015-02-11 11:37:08, 2015-02-11 11:38:02,-48,15, 00:25:00:FF:94:73,,,,,,,,
10:8C:CF:B4:B2:8B, 2015-02-11 11:28:11, 2015-02-11 11:29:10,11,54, WPA2, CCMP, MGT,-46,1,0,   0.  0.  0.  0,13, bloomu-secure, ,A0:F4:50:77:5F:FF, 2015-02-11 11:37:58, 2015-02-11 11:37:59,-50,3, (not associated) , bloomu-open,,,,,,,
10:8C:CF:B1:7C:32, 2015-02-11 11:28:12, 2015-02-11 11:28:52,1,54, WPA2, CCMP,PSK,-39,1,0,   0.  0.  0.  0,10, bloomu-psk, ,3C:15:C2:54:F3:E7, 2015-02-11 11:37:50, 2015-02-11 11:37:50,-39,3, (not associated) ,,,,,,,,
10:8C:CF:B1:7C:3B, 2015-02-11 11:21:00, 2015-02-11 11:28:52,1,54, WPA2, CCMP, MGT,-44,0,0,   0.  0.  0.  0,13, bloomu-secure, ,BC:52:B7:AC:C8:59, 2015-02-11 11:37:41, 2015-02-11 11:37:41,-55,4, (not associated) , bloomu-secure,,,,,,,
44:E4:D9:3E:84:3B, 2015-02-11 11:22:38, 2015-02-11 11:28:52,1,54, WPA2, CCMP, MGT,-44,2,0,   0.  0.  0.  0,13, bloomu-secure, ,48:43:7C:C5:17:63, 2015-02-11 11:36:41, 2015-02-11 11:37:42,-55,3, (not associated) , bloomu,,,,,,,
44:E4:D9:3E:84:32, 2015-02-11 11:22:29, 2015-02-11 11:28:52,1,54, WPA2, CCMP,PSK,-44,3,0,   0.  0.  0.  0,10, bloomu-psk, ,E8:80:2E:9A:97:2E, 2015-02-11 11:37:15, 2015-02-11 11:37:38,-58,2, (not associated) , bloomu,,,,,,,
10:8C:CF:B1:7C:3A, 2015-02-11 11:28:12, 2015-02-11 11:28:52,1,54, OPN ,       ,   ,-45,1,0,   0.  0.  0.  0,11, bloomu-open, ,2C:BE:08:B1:95:0E, 2015-02-11 11:37:29, 2015-02-11 11:37:29,-54,1, (not associated) , bloomu,,,,,,,
10:8C:CF:B1:7C:30, 2015-02-11 11:28:12, 2015-02-11 11:28:52,1,54, WPA2, CCMP, MGT,-47,0,0,   0.  0.  0.  0,6, bloomu, ,FC:C2:DE:E9:4B:E3, 2015-02-11 11:37:22, 2015-02-11 11:37:22,-1,1, 40:F4:EC:B2:DF:80,,,,,,,,
10:8C:CF:EA:B4:40, 2015-02-11 11:22:17, 2015-02-11 11:28:49,11,54, WPA2, CCMP, MGT,-48,131,73,   0.  0.  0.  0,6, bloomu, ,2C:BE:08:D7:32:79, 2015-02-11 11:37:09, 2015-02-11 11:37:10,-45,28, 00:1C:F9:C1:F0:10, bloomu,,,,,,,
6C:FA:89:08:88:12, 2015-02-11 11:21:03, 2015-02-11 11:28:52,6,54, WPA2, CCMP,PSK,-49,1,0,   0.  0.  0.  0,10, bloomu-psk, ,46:DE:E9:03:56:50, 2015-02-11 11:37:10, 2015-02-11 11:37:10,-53,1, (not associated) ,,,,,,,,
